apply_month,reference_month,boj_central_monthly_avg,reconstructed,published,diff,boj_1700_monthly_avg,recon_1700
2022-06,2022-04,126.0400,126,126,0,126.1300,126
2022-11,2022-09,143.1400,143,143,0,143.0900,143
2023-01,2022-11,142.4400,142,142,0,142.1700,142
2023-02,2022-12,134.9300,135,135,0,134.8500,135
2023-03,2023-01,130.2000,130,130,0,130.2800,130
2023-12,2023-10,149.5300,150,150,0,149.5900,150
2024-03,2024-01,146.5700,147,147,0,146.5900,147
2024-08,2024-06,157.8200,158,158,0,157.9000,158
2024-12,2024-10,149.6300,150,150,0,149.6000,150
2025-03,2025-01,156.4900,156,156,0,156.4200,156
2025-06,2025-04,144.3900,144,144,0,144.2700,144
2025-11,2025-09,147.9400,148,148,0,147.9300,148
2025-12,2025-10,151.2800,151,151,0,151.3200,151
2026-01,2025-11,155.1200,155,155,0,155.0800,155
2026-05,2026-03,158.6400,159,159,0,158.6400,159
2026-06,2026-04,159.2800,159,159,0,159.2800,159
2026-07,2026-05,158.3400,158,158,0,158.3400,158
2026-08,2026-06,160.7100,161,161,0,160.6900,161
2026-09,2026-07,162.5500,163,163,0,162.4500,162
