episode,offset_bd,date,close,recovery_pct,phase
E1,0,2022-09-22,142.387,36.7,pre
E1,1,2022-09-23,143.358,54.2,passage
E1,2,2022-09-26,144.736,79.0,post
E1,3,2022-09-27,144.842,80.9,post
E1,4,2022-09-28,144.120,67.9,post
E1,5,2022-09-29,144.426,73.4,post
E1,6,2022-09-30,144.748,79.2,post
E1,7,2022-10-03,144.566,75.9,post
E1,8,2022-10-04,144.140,68.3,post
E1,9,2022-10-05,144.685,78.1,post
E2,0,2022-10-24,149.020,54.4,pre
E2,1,2022-10-25,147.944,37.6,pre
E2,2,2022-10-26,146.376,13.1,pre
E2,3,2022-10-27,146.291,11.8,pre
E2,4,2022-10-28,147.481,30.4,pre
E2,5,2022-10-31,148.742,50.0,passage
E2,6,2022-11-01,148.226,42.0,post
E2,7,2022-11-02,147.918,37.2,post
E2,8,2022-11-03,148.280,42.8,post
E2,9,2022-11-04,146.646,17.3,post
E2,10,2022-11-07,146.626,17.0,post
E2,11,2022-11-08,145.636,1.6,post
E2,12,2022-11-09,146.414,13.7,post
E2,13,2022-11-10,140.936,-71.7,post
E3,0,2024-05-01,154.442,19.9,pre
E3,1,2024-05-02,153.678,9.3,pre
E3,2,2024-05-03,152.984,-0.2,pre
E3,3,2024-05-06,153.899,12.4,pre
E3,4,2024-05-07,154.692,23.4,pre
E3,5,2024-05-08,155.532,35.0,pre
E3,6,2024-05-09,155.481,34.3,pre
E3,7,2024-05-10,155.772,38.3,pre
E3,8,2024-05-13,156.222,44.5,pre
E3,9,2024-05-14,156.431,47.4,pre
E3,10,2024-05-15,154.905,26.3,pre
E3,11,2024-05-16,155.398,33.1,pre
E3,12,2024-05-17,155.642,36.5,pre
E3,13,2024-05-20,156.276,45.3,pre
E3,14,2024-05-21,156.196,44.2,pre
E3,15,2024-05-22,156.830,52.9,passage
E3,16,2024-05-23,156.945,54.5,post
E3,17,2024-05-24,156.995,55.2,post
E3,18,2024-05-27,156.899,53.9,post
E3,19,2024-05-28,157.190,57.9,post
E3,20,2024-05-29,157.668,64.5,post
E3,21,2024-05-30,156.816,52.7,post
E3,22,2024-05-31,157.302,59.5,post
E3,23,2024-06-03,156.083,42.6,post
E4,0,2024-07-12,157.887,11.9,pre
E4,1,2024-07-15,158.108,16.9,pre
E4,2,2024-07-16,158.410,23.8,pre
E4,3,2024-07-17,156.215,-26.1,pre
E4,4,2024-07-18,157.362,-0.0,pre
E4,5,2024-07-19,157.477,2.6,pre
E4,6,2024-07-22,157.052,-7.1,pre
E4,7,2024-07-23,155.606,-40.0,pre
E4,8,2024-07-24,153.899,-78.8,pre
E4,9,2024-07-25,153.904,-78.7,pre
E4,10,2024-07-26,153.755,-82.1,pre
E4,11,2024-07-29,154.028,-75.9,pre
E4,12,2024-07-30,152.764,-104.6,pre
E4,13,2024-07-31,149.986,-167.8,pre
E4,14,2024-08-01,149.343,-182.4,pre
E4,15,2024-08-02,146.546,-246.0,pre
E4,16,2024-08-05,144.198,-299.4,pre
E4,17,2024-08-06,144.330,-296.4,pre
E4,18,2024-08-07,146.710,-242.3,pre
E4,19,2024-08-08,147.282,-229.3,pre
E4,20,2024-08-09,146.624,-244.3,pre
E4,21,2024-08-12,147.197,-231.2,pre
E4,22,2024-08-13,146.856,-239.0,pre
E4,23,2024-08-14,147.318,-228.5,pre
E4,24,2024-08-15,149.288,-183.7,pre
E4,25,2024-08-16,147.612,-221.8,pre
E4,26,2024-08-19,146.606,-244.7,pre
E4,27,2024-08-20,145.270,-275.1,pre
E4,28,2024-08-21,145.292,-274.6,pre
E4,29,2024-08-22,146.310,-251.4,pre
E4,30,2024-08-23,144.386,-295.2,pre
E4,31,2024-08-26,144.524,-292.0,pre
E4,32,2024-08-27,143.954,-305.0,pre
E4,33,2024-08-28,144.591,-290.5,pre
E4,34,2024-08-29,144.995,-281.3,pre
E4,35,2024-08-30,146.203,-253.8,pre
E4,36,2024-09-02,146.914,-237.7,pre
E4,37,2024-09-03,145.484,-270.2,pre
E4,38,2024-09-04,143.733,-310.0,pre
E4,39,2024-09-05,143.453,-316.4,pre
E4,40,2024-09-06,142.314,-342.3,pre
E4,41,2024-09-09,143.166,-322.9,pre
E4,42,2024-09-10,142.458,-339.0,pre
E4,43,2024-09-11,142.362,-341.2,pre
E4,44,2024-09-12,141.817,-353.6,pre
E4,45,2024-09-13,140.822,-376.2,pre
E4,46,2024-09-16,140.608,-381.1,pre
