date,net
2022-01-04,-62262
2022-01-11,-87525
2022-01-18,-80879
2022-01-25,-68273
2022-02-01,-60640
2022-02-08,-59148
2022-02-15,-66162
2022-02-22,-63187
2022-03-01,-68732
2022-03-08,-55856
2022-03-15,-62340
2022-03-22,-78482
2022-03-29,-102131
2022-04-05,-103829
2022-04-12,-111827
2022-04-19,-107187
2022-04-26,-95535
2022-05-03,-100794
2022-05-10,-110454
2022-05-17,-102309
2022-05-24,-99444
2022-05-31,-94439
2022-06-07,-91646
2022-06-14,-69755
2022-06-21,-58454
2022-06-28,-52570
2022-07-05,-54445
2022-07-12,-59998
2022-07-19,-59225
2022-07-26,-61481
2022-08-02,-42753
2022-08-09,-25032
2022-08-16,-28891
2022-08-23,-38807
2022-08-30,-41531
2022-09-06,-58189
2022-09-13,-80692
2022-09-20,-81280
2022-09-27,-82556
2022-10-04,-81623
2022-10-11,-77393
2022-10-18,-94336
2022-10-25,-102618
2022-11-01,-77620
2022-11-08,-75258
2022-11-15,-65842
2022-11-22,-64850
2022-11-29,-67394
2022-12-06,-65996
2022-12-13,-53188
2022-12-20,-40881
2022-12-27,-37730
2023-01-03,-46864
2023-01-10,-35377
2023-01-17,-22961
2023-01-24,-21635
2023-01-31,-20060
2023-02-07,-29089
2023-02-14,-27843
2023-02-21,-34029
2023-02-28,-58678
2023-03-07,-75303
2023-03-14,-74794
2023-03-21,-66345
2023-03-28,-53975
2023-04-04,-57036
2023-04-11,-57207
2023-04-18,-56869
2023-04-25,-68744
2023-05-02,-68324
2023-05-09,-61015
2023-05-16,-64791
2023-05-23,-80660
2023-05-30,-96193
2023-06-06,-104817
2023-06-13,-103976
2023-06-20,-107656
2023-06-27,-112870
2023-07-03,-117920
2023-07-11,-117182
2023-07-18,-90239
2023-07-25,-77752
2023-08-01,-79216
2023-08-08,-83180
2023-08-15,-80961
2023-08-22,-95323
2023-08-29,-98473
2023-09-05,-97136
2023-09-12,-98713
2023-09-19,-101619
2023-09-26,-109512
2023-10-03,-113988
2023-10-10,-99476
2023-10-17,-102658
2023-10-24,-99629
2023-10-31,-103848
2023-11-07,-104040
2023-11-14,-130249
2023-11-21,-105454
2023-11-28,-109237
2023-12-05,-104956
2023-12-12,-81131
2023-12-19,-64902
2023-12-26,-55568
2024-01-02,-57195
2024-01-09,-55949
2024-01-16,-56560
2024-01-23,-70645
2024-01-30,-80455
2024-02-06,-84230
2024-02-13,-111536
2024-02-20,-120778
2024-02-27,-132705
2024-03-05,-118843
2024-03-12,-102322
2024-03-19,-116012
2024-03-26,-129106
2024-04-02,-143230
2024-04-09,-162151
2024-04-16,-165619
2024-04-23,-179919
2024-04-30,-168388
2024-05-07,-134922
2024-05-14,-126182
2024-05-21,-144367
2024-05-28,-156039
2024-06-04,-132101
2024-06-11,-138579
2024-06-18,-147753
2024-06-25,-173900
2024-07-02,-184223
2024-07-09,-182033
2024-07-16,-151072
2024-07-23,-107108
2024-07-30,-73460
2024-08-06,-11354
2024-08-13,23104
2024-08-20,23585
2024-08-27,25868
2024-09-03,41116
2024-09-10,55770
2024-09-17,56840
2024-09-24,66011
2024-10-01,56772
2024-10-08,36528
2024-10-15,34110
2024-10-22,12771
2024-10-29,-24817
2024-11-05,-44167
2024-11-12,-64902
2024-11-19,-46868
2024-11-26,-22633
2024-12-03,2334
2024-12-10,25752
2024-12-17,5961
2024-12-24,2311
2024-12-31,-8443
2025-01-07,-20189
2025-01-14,-29411
2025-01-21,-14673
2025-01-28,-959
2025-02-04,18768
2025-02-11,54615
2025-02-18,60569
2025-02-25,95980
2025-03-04,133651
2025-03-11,133902
2025-03-18,122964
2025-03-25,125376
2025-04-01,121774
2025-04-08,147067
2025-04-15,171855
2025-04-22,177814
2025-04-29,179212
2025-05-06,176859
2025-05-13,172268
2025-05-20,167330
2025-05-27,164012
2025-06-03,151149
2025-06-10,144595
2025-06-17,130877
2025-06-24,132277
2025-07-01,127338
2025-07-08,116155
2025-07-15,103582
2025-07-22,106645
2025-07-29,89243
2025-08-05,82006
2025-08-12,74234
2025-08-19,77581
2025-08-26,84484
2025-09-02,73258
2025-09-09,91643
2025-09-16,61411
2025-09-23,79500
2025-09-30,61465
2025-10-07,46307
2025-10-14,37166
2025-10-21,70414
2025-10-28,68115
2025-11-04,51265
2025-11-10,48476
2025-11-18,31157
2025-11-25,26517
2025-12-02,36418
2025-12-09,17448
2025-12-16,-2942
2025-12-23,1223
2025-12-30,14068
2026-01-06,8815
2026-01-13,-45164
2026-01-20,-44829
2026-01-27,-33933
2026-02-03,-19222
2026-02-10,-19106
2026-02-17,12955
2026-02-24,11539
2026-03-03,-16575
2026-03-10,-41387
2026-03-17,-67780
2026-03-24,-62806
2026-03-31,-72872
2026-04-07,-93742
2026-04-14,-83208
2026-04-21,-94460
2026-04-28,-102059
2026-05-05,-61738
2026-05-12,-75102
2026-05-19,-93905
2026-05-26,-114667
2026-06-02,-129567
2026-06-09,-145818
2026-06-16,-150132
2026-06-23,-146104
2026-06-30,-155092
2026-07-07,-123778
2026-07-14,-122663
2026-07-21,-152125
2026-07-28,-163412
2026-08-04,-45473
2026-08-11,-42085
2026-08-18,-52893
