ym,total_net,public_net,V_private_net
2005-01,5888,-128,6016
2005-02,-6475,-161,-6314
2005-03,-7678,-78,-7600
2005-04,40027,-71,40098
2005-05,26260,-55,26315
2005-06,9547,-41,9588
2005-07,19935,-43,19978
2005-08,8322,-57,8379
2005-09,9302,-180,9482
2005-10,35026,-21,35047
2005-11,4332,-6,4338
2005-12,14036,-1,14037
2006-01,-5814,-23,-5791
2006-02,-3858,-6,-3852
2006-03,-23264,-12,-23252
2006-04,11508,0,11508
2006-05,11757,0,11757
2006-06,7420,0,7420
2006-07,7487,-1,7488
2006-08,22908,0,22908
2006-09,-7225,0,-7225
2006-10,20597,-16,20613
2006-11,8854,0,8854
2006-12,1410,-1,1411
2007-01,167,0,167
2007-02,-18902,-289,-18613
2007-03,-4568,-10,-4558
2007-04,12680,-3,12683
2007-05,6927,-6,6933
2007-06,-8040,-39,-8001
2007-07,-6598,-11,-6587
2007-08,-6904,-24,-6880
2007-09,33034,-1,33035
2007-10,28325,2,28323
2007-11,5346,0,5346
2007-12,11518,0,11518
2008-01,25233,-17,25250
2008-02,9445,-200,9645
2008-03,9900,-602,10502
2008-04,-7613,-10,-7603
2008-05,20283,-3,20286
2008-06,7980,-2,7982
2008-07,-289,0,-289
2008-08,-18626,-30,-18596
2008-09,77,-6,83
2008-10,2149,-1,2150
2008-11,6068,0,6068
2008-12,-2368,-2,-2366
2009-01,12735,0,12735
2009-02,35591,-54,35645
2009-03,11206,-2,11208
2009-04,3752,-27,3779
2009-05,18486,-3,18489
2009-06,26372,-31,26403
2009-07,4447,-36,4483
2009-08,6039,-24,6063
2009-09,8607,-19,8626
2009-10,-14917,-13,-14904
2009-11,12924,-12,12936
2009-12,-3586,-2,-3584
2010-01,8256,-3,8259
2010-02,8062,-5,8067
2010-03,12792,-59,12851
2010-04,5090,0,5090
2010-05,15046,0,15046
2010-06,35409,-18,35427
2010-07,46860,0,46860
2010-08,49379,0,49379
2010-09,28530,-12,28542
2010-10,23446,-13,23459
2010-11,-15005,-202,-14803
2010-12,1563,-157,1720
2011-01,13419,-151,13570
2011-02,6338,-101,6439
2011-03,26335,-16,26351
2011-04,-10321,-3,-10318
2011-05,-10537,0,-10537
2011-06,7076,-14,7090
2011-07,-1050,-1,-1049
2011-08,-3104,-14,-3090
