month,total_musd,securities_musd,deposits_musd
2022-04,1322193,1058328,137087
2023-01,1250228,985289,137223
2023-02,1226044,964999,137088
2023-03,1257061,991448,137301
2023-04,1265414,1000421,136533
2023-05,1254522,988105,138278
2023-06,1247179,984184,135968
2023-07,1253673,987946,136329
2023-08,1251171,986675,135711
2023-09,1237248,973710,136193
2023-10,1238000,961749,145275
2023-11,1269707,982657,153788
2023-12,1294637,1005227,154622
2024-01,1291792,1000806,155363
2024-02,1281484,989583,155659
2024-03,1290606,994868,155020
2024-04,1278977,978004,157709
2024-05,1231572,927579,158955
2024-06,1231495,928214,158257
2024-07,1219077,911134,158679
2024-08,1235749,923634,159007
2024-09,1254898,938409,159486
2024-10,1238950,921125,159346
2024-11,1238999,924013,159781
2024-12,1230715,917567,159570
2025-01,1240631,921498,159869
2025-02,1253281,933151,159863
2025-03,1272511,943250,160090
2025-04,1298249,961015,159726
2025-05,1298139,961262,159892
2025-06,1313782,975254,160019
2025-07,1304436,965568,161760
2025-08,1324210,981399,161069
2025-09,1341268,987914,160812
2025-10,1347378,989345,161297
2025-11,1359358,996419,161264
2025-12,1369775,1003757,160439
2026-01,1394750,1008357,161742
2026-02,1410699,1018350,161550
2026-03,1374734,1000090,161729
2026-04,1382994,1007241,162197
2026-05,1305874,931678,162235
2026-06,1287476,928581,161934
2026-07,1287099,927332,162285
